decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SF,aR,2.1,2.7,2.2,0.832,0.764,0.643,0.575,0.55,0.52
SL,SF,aR,2.1,2.7,2.3,0.838,0.763,0.652,0.5740000000000001,0.5469999999999999,0.514
SL,SF,aR,2.1,2.7,2.4,0.815,0.756,0.6799999999999999,0.5720000000000001,0.554,0.522
SL,SF,aR,2.1,2.7,2.5,0.8280000000000001,0.769,0.6699999999999999,0.602,0.524,0.526
SL,SF,aR,2.1,2.7,2.6,0.788,0.737,0.652,0.597,0.562,0.56
SL,SF,aR,2.1,2.7,2.7,0.837,0.766,0.6779999999999999,0.605,0.575,0.5509999999999999
SL,SF,aR,2.1,2.7,2.8,0.819,0.761,0.675,0.587,0.5569999999999999,0.526
SL,SF,aR,2.1,2.7,2.9,0.8160000000000001,0.728,0.635,0.567,0.55,0.532
SL,SF,aR,2.2,2.8,2.1,0.8029999999999999,0.766,0.663,0.595,0.55,0.524
SL,SF,aR,2.2,2.8,2.2,0.835,0.753,0.6799999999999999,0.627,0.585,0.515
SL,SF,aR,2.2,2.8,2.3,0.833,0.77,0.677,0.607,0.554,0.521
SL,SF,aR,2.2,2.8,2.4,0.8200000000000001,0.769,0.654,0.583,0.5449999999999999,0.5449999999999999
SL,SF,aR,2.2,2.8,2.5,0.817,0.743,0.657,0.587,0.548,0.523
SL,SF,aR,2.2,2.8,2.6,0.841,0.762,0.671,0.5700000000000001,0.56,0.546
SL,SF,aR,2.2,2.8,2.7,0.8280000000000001,0.778,0.675,0.583,0.534,0.514
SL,SF,aR,2.2,2.8,2.8,0.8260000000000001,0.74,0.669,0.61,0.55,0.538
SL,SF,aR,2.2,2.8,2.9,0.837,0.738,0.651,0.5920000000000001,0.55,0.507
SL,SF,aR,2.3,2.9,2.1,0.817,0.762,0.6679999999999999,0.577,0.5609999999999999,0.501
SL,SF,aR,2.3,2.9,2.2,0.812,0.765,0.663,0.5740000000000001,0.536,0.516
SL,SF,aR,2.3,2.9,2.3,0.8240000000000001,0.753,0.6599999999999999,0.5860000000000001,0.5589999999999999,0.511
SL,SF,aR,2.3,2.9,2.4,0.837,0.761,0.6719999999999999,0.606,0.5589999999999999,0.524
