decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SL,aNR,2.3,2.9,2.7,0.8140000000000001,0.8220000000000001,0.802,0.8029999999999999,0.793,0.78
SL,SL,aNR,2.3,2.9,2.8,0.825,0.8220000000000001,0.8009999999999999,0.789,0.792,0.761
SL,SL,aNR,2.3,2.9,2.9,0.832,0.815,0.802,0.794,0.779,0.764
SL,SF,aR,2.1,2.7,2.1,0.831,0.772,0.726,0.619,0.594,0.5900000000000001
SL,SF,aR,2.1,2.7,2.2,0.833,0.765,0.712,0.649,0.618,0.5840000000000001
SL,SF,aR,2.1,2.7,2.3,0.812,0.742,0.698,0.631,0.598,0.585
SL,SF,aR,2.1,2.7,2.4,0.83,0.748,0.7070000000000001,0.603,0.587,0.558
SL,SF,aR,2.1,2.7,2.5,0.844,0.768,0.708,0.631,0.5800000000000001,0.565
SL,SF,aR,2.1,2.7,2.6,0.8180000000000001,0.767,0.692,0.622,0.562,0.5589999999999999
SL,SF,aR,2.1,2.7,2.7,0.845,0.735,0.71,0.601,0.5860000000000001,0.5409999999999999
SL,SF,aR,2.1,2.7,2.8,0.836,0.775,0.6890000000000001,0.599,0.5609999999999999,0.536
SL,SF,aR,2.1,2.7,2.9,0.841,0.774,0.7,0.633,0.5449999999999999,0.5329999999999999
SL,SF,aR,2.2,2.8,2.1,0.841,0.779,0.729,0.626,0.585,0.581
SL,SF,aR,2.2,2.8,2.2,0.817,0.761,0.7090000000000001,0.653,0.604,0.5740000000000001
SL,SF,aR,2.2,2.8,2.3,0.8089999999999999,0.748,0.6930000000000001,0.632,0.5880000000000001,0.581
SL,SF,aR,2.2,2.8,2.4,0.834,0.759,0.7110000000000001,0.604,0.5680000000000001,0.56
SL,SF,aR,2.2,2.8,2.5,0.8200000000000001,0.775,0.6839999999999999,0.614,0.577,0.5720000000000001
SL,SF,aR,2.2,2.8,2.6,0.825,0.777,0.7090000000000001,0.612,0.558,0.565
SL,SF,aR,2.2,2.8,2.7,0.8089999999999999,0.753,0.6719999999999999,0.625,0.552,0.542
SL,SF,aR,2.2,2.8,2.8,0.837,0.762,0.673,0.606,0.556,0.5569999999999999
SL,SF,aR,2.2,2.8,2.9,0.8160000000000001,0.755,0.6839999999999999,0.603,0.5349999999999999,0.523
SL,SF,aR,2.3,2.9,2.1,0.832,0.782,0.71,0.641,0.595,0.577
SL,SF,aR,2.3,2.9,2.2,0.834,0.769,0.6779999999999999,0.601,0.5800000000000001,0.5740000000000001
SL,SF,aR,2.3,2.9,2.3,0.834,0.764,0.704,0.625,0.5860000000000001,0.5640000000000001
SL,SF,aR,2.3,2.9,2.4,0.8220000000000001,0.764,0.6930000000000001,0.637,0.603,0.602
