stim1 decoder,stim1 low,stim1 high,opp1,chosen task,reward cond,accuracy t0,accuracy t15,accuracy t30,accuracy t45
SL,2.2,2.8,2.7,SL,aNR,0.815,0.8009999999999999,0.79,0.775
SL,2.2,2.8,2.7,SF,aNR,0.83,0.785,0.7150000000000001,0.657
SL,2.2,2.8,2.8,SL,aNR,0.829,0.819,0.8009999999999999,0.777
SL,2.2,2.8,2.8,SF,aNR,0.8200000000000001,0.788,0.7,0.634
SL,2.2,2.8,2.9,SL,aNR,0.834,0.804,0.791,0.78
SL,2.2,2.8,2.9,SF,aNR,0.834,0.777,0.7010000000000001,0.602
SL,2.3,2.9,2.1,SL,aR,0.864,0.853,0.825,0.819
SL,2.3,2.9,2.1,SF,aR,0.8260000000000001,0.739,0.631,0.587
SL,2.3,2.9,2.2,SL,aR,0.849,0.8260000000000001,0.812,0.806
SL,2.3,2.9,2.2,SF,aR,0.841,0.763,0.629,0.61
SL,2.3,2.9,2.3,SL,aR,0.847,0.823,0.815,0.806
SL,2.3,2.9,2.3,SF,aR,0.837,0.761,0.629,0.598
SL,2.3,2.9,2.4,SL,aR,0.847,0.825,0.817,0.8049999999999999
SL,2.3,2.9,2.4,SF,aR,0.837,0.759,0.628,0.596
SL,2.3,2.9,2.5,SL,aR,0.847,0.823,0.817,0.8049999999999999
SL,2.3,2.9,2.5,SF,aR,0.835,0.758,0.623,0.595
SL,2.3,2.9,2.6,SL,aR,0.847,0.825,0.8180000000000001,0.8049999999999999
SL,2.3,2.9,2.6,SF,aR,0.834,0.758,0.638,0.5720000000000001
SL,2.3,2.9,2.7,SL,aR,0.85,0.8240000000000001,0.817,0.804
SL,2.3,2.9,2.7,SF,aR,0.833,0.755,0.636,0.5569999999999999
SL,2.3,2.9,2.8,SL,aR,0.85,0.825,0.8220000000000001,0.8069999999999999
SL,2.3,2.9,2.8,SF,aR,0.83,0.763,0.633,0.5449999999999999
SL,2.3,2.9,2.9,SL,aR,0.848,0.8240000000000001,0.821,0.8069999999999999
SL,2.3,2.9,2.9,SF,aR,0.831,0.764,0.627,0.522
SL,2.3,2.9,2.1,SL,aNR,0.8240000000000001,0.806,0.774,0.764
