SL_pAcc_aR,SL_pAcc_aNR,SF_pAcc_aR,SF_pAcc_aNR
0.5216329378925332,0.48686197523406827,0.4873477038425492,0.48845470692717585
0.5180675569520817,0.48338983050847456,0.5228198859005705,0.4980487804878049
0.5139708776072412,0.47610862839463736,0.5022366815778772,0.4968914395026303
0.5146818923327896,0.49188761377127027,0.5027472527472527,0.4937323089365144
0.509771986970684,0.4881858229875851,0.485062893081761,0.49460647223332
0.5191836734693878,0.48827809215844786,0.5098039215686274,0.4897070467141726
0.5153374233128835,0.4897045658012534,0.5045009784735812,0.4848156182212581
0.5137429264349233,0.492003046458492,0.49643705463182897,0.4991575400168492
0.5158953722334004,0.49693251533742333,0.5129224652087475,0.4876712328767123
0.5112970711297071,0.49923973644196656,0.5099616858237548,0.4899240171787248
0.5117817279867714,0.4962756052141527,0.512979465323518,0.48246844319775595
0.5123732251521298,0.49896822121337187,0.5033530571992111,0.493209157935584
0.5105348460291734,0.4971890372452565,0.5063191153238547,0.48653667595171773
0.5101378751013788,0.49113233287858116,0.5059194948697711,0.4869689396644056
0.5114320096269555,0.4955501618122977,0.5061826884722777,0.4873417721518987
0.5113544201135442,0.4959254947613504,0.5086819258089976,0.4861741642591828
0.5116653258246179,0.48677248677248675,0.5171042163882259,0.48289421942587496
0.5064935064935064,0.49404499338332597,0.5063091482649842,0.491035492133187
0.5121457489878543,0.47854785478547857,0.5071146245059288,0.48790145182578093
0.5034566897112648,0.5101228011948225,0.5175127902400629,0.49924509310518367
0.5109845402766476,0.4957736126424109,0.5098347757671126,0.4927599824484423
0.477079107505071,0.4919831223628692,0.5069033530571992,0.4870722433460076
0.5105777054515866,0.4912213740458015,0.4901652242328875,0.5084033613445378
0.5109845402766476,0.47424242424242424,0.5011801730920535,0.4940677966101695
0.48779495524816924,0.49295223179326547,0.498426435877262,0.4901880621422731
0.5109845402766476,0.4875195007800312,0.503147128245476,0.48891625615763545
0.5109845402766476,0.48759124087591244,0.48426435877262,0.5070796460176992
0.5109845402766476,0.4874251497005988,0.504720692368214,0.49498997995991983
0.5109845402766476,0.5043069694596711,0.510228166797797,0.4991823385118561
0.516273393002441,0.4888637221593054,0.5161290322580645,0.49383241173968523
0.5154597233523189,0.49910039582583665,0.505507474429583,0.4961728950923008
0.5545158665581774,0.5383312155866158,0.5,0.4986737400530504
0.5345809601301872,0.5102442868400315,0.5027537372147916,0.5146222583265637
0.5240032546786005,0.5150346954510409,0.516522423288749,0.4970906068162926
0.5829943043124491,0.5488318651857526,0.4909520062942565,0.5131854332356635
0.5126118795768918,0.49795249795249796,0.506294256490952,0.491790461297889
0.5435313262815297,0.5422718808193668,0.5216365066876475,0.4937365010799136
0.6720911310008136,0.6151851851851852,0.536978756884343,0.4965217391304348
0.7046379170056957,0.653904473085671,0.518882769472856,0.5143945808636748
0.6933712891419276,0.6951177876408331,0.5608028335301063,0.5234186383389667
0.7672904800650936,0.6955503512880562,0.5059008654602675,0.5315832649712879
0.7628152969894223,0.7041011881947106,0.5948072383949646,0.5549979088247595
0.7502034174125305,0.7255496588324488,0.7100708103855232,0.6066892464013548
0.7790886899918633,0.7183557183557183,0.6687647521636507,0.6287848997247346
0.7644426362896664,0.7378234398782344,0.7486231313926043,0.642495784148398
0.7482716551443677,0.6989443028758646,0.773711137347501,0.6737683089214381
0.7702318015453437,0.6699862637362637,0.7524596615505706,0.6293103448275862
0.7973962571196095,0.7313376278893521,0.7824547600314713,0.6603134265141889
0.7811228641171685,0.6866393747673986,0.7635719905586152,0.6407263294422828
0.7990235964198535,0.7237479806138933,0.7911093627065303,0.6727416798732171
0.7876322213181448,0.7602405110860578,0.7938630999213218,0.6955964087216759
0.8083807973962571,0.7875304771856496,0.8017309205350118,0.7031470173790512
0.8003253355022367,0.7659023668639053,0.7937819756001574,0.6903310104529616
0.8058489033306255,0.7551556055493064,0.8073286052009456,0.727818259751393
0.7990235964198535,0.7390631049167634,0.8088119590873328,0.7232105916425321
0.8030919446704637,0.7947019867549668,0.8190401258851299,0.7178792569659442
0.8022782750203418,0.784320942215679,0.7824547600314713,0.7034603591765222
0.8051261187957689,0.7622231508566653,0.8154996066089694,0.747602608362102
0.8185516680227828,0.778698224852071,0.8064516129032258,0.7371196754563895
0.8148901545972336,0.77719369187222,0.8229740361919748,0.7475267115156312
0.8091944670463792,0.7791361043194784,0.7761605035405192,0.7391987431264729
0.8193653376729048,0.7843894899536321,0.8194335169158143,0.7669983416252073
0.7917005695687551,0.7296375266524521,0.8040912667191188,0.752542372881356
0.8161106590724166,0.7803757828810021,0.7686860739575138,0.7013435700575815
0.8118650954896384,0.7724845995893224,0.8014966522252855,0.7348927875243665
0.8104149715215623,0.7973621103117506,0.7977970102281668,0.6769415532425941
0.8193653376729048,0.7770849571317225,0.7918961447678993,0.7140509449465899
0.822213181448332,0.7729223566133437,0.7529504327301337,0.6979893311448502
0.8157038242473555,0.7546809323653038,0.7926829268292683,0.7331095258078053
0.8152969894222946,0.7638715060492282,0.8131392604248623,0.7575873991548213
0.8140764849471115,0.7809882747068677,0.8092053501180173,0.7232006125574273
0.8091944670463792,0.7488721804511278,0.8261211644374509,0.770940170940171
0.8193653376729048,0.7765751836103595,0.8206136900078678,0.7666804807293826
0.8254678600488202,0.7771156138259833,0.8111723052714398,0.7728554168344745
0.8144833197721725,0.73810460086512,0.7962234461054288,0.7724867724867724
0.8177379983726607,0.7225296442687748,0.8158929976396538,0.8036437246963563
0.8205858421480878,0.7594734742720383,0.8210070810385524,0.7986361813076615
0.8136696501220505,0.7444116406579502,0.7891424075531078,0.7325979459870673
0.8185516680227828,0.7700513630975899,0.8001573564122738,0.7764277035236938
0.8197721724979659,0.7724394785847299,0.7966168371361133,0.7585313174946005
0.822620016273393,0.7909448818897638,0.8060582218725413,0.7560975609756098
0.8356387306753458,0.7871205906480722,0.8005507474429583,0.741608118657299
0.8124491456468673,0.7656752411575563,0.8198269079464988,0.7822452229299363
0.822213181448332,0.7762738853503185,0.8304484657749803,0.7640675241157556
0.8132628152969894,0.7624948368442792,0.8033044846577498,0.7487398216362932
0.8262815296989422,0.7662650602409639,0.7950432730133753,0.7183266932270916
0.8124491456468673,0.7530246141009596,0.7887490165224232,0.7376104494813677
0.8205858421480878,0.7382899628252788,0.8029110936270653,0.7346320346320346
0.8291293734743694,0.7780601440067768,0.7675059008654602,0.7089806744979159
